class,text
arrangement,соглашен n 8 расторжен трудов договор дат n 15/к г 15 октябр 2016 г `` именуем дальн `` работодател '' лиц генеральн директор действ основан устав одн сторон менеджер продаж оо « именуем дальн `` '' сторон вмест именуем `` '' заключ настоя соглашен нижеслед 1 прекрат трудов договор дат n 15/к заключен ом согласн п 1 ст 77 2 последн рабоч днем счита 16 ноябр 2016 г 3 работодател обяз 3.1 увольнен предостав оплачива отпуск 28 календарн дне 20 октябр 16 ноябр 2016 г 3.2 19 октябр 2016 г выплат выходн пособ размер одн месячн оклад 3.3 19 октябр 2016 г возврат трудов книжк соответств запис полност рассчита 4 обяз переда дел менеджер отдел продаж 20 октябр 2016 г 5 подтвержда размер выходн пособ установлен п 3.2 настоя соглашен явля окончательн измен ( дополн ) 6 имеют друг друг претенз 7 настоя соглашен составл двух экземпляр имеющ одинаков юридическ сил одн кажд генеральн директор оо « сайт менеджер продаж оо « сайт .
arrangement,соглашен предоставлен опцион заключен договор купли-продаж дол уставн капитал « 17 март 2021 год обществ ограничен ответствен « » именуем дальн « » лиц генеральн директор действ основан одн сторон обществ ограничен ответствен « » именуем дальн « » лиц генеральн директор действ основан сторон вмест именуем « » заключ настоя соглашен нижеслед 1 предмет соглашен 1.1 посредств безотзывн оферт предоставля 2 плат приобрета прав заключ договор купли-продаж дол уставн капитал пут акцепт оферт порядк срок услов котор предусмотр настоя соглашен 1.2 услов предоставлен опцион 1.2.1 срок акцепт безотзывн оферт ( срок действ опцион 20 август 2021 год 1.2.2 цен опцион 500000 ( пятьсот тысяч рубл 1.2.3 форм оплат опцион пут перечислен денежн средств банковск счет 1 1.2.4 порядок оплат опцион единовремен поздн 10 дне дат заключен договор 1.2.5 предмет выкуп опцион прав заключен 1 договор купли-продаж дол уставн капитал ( дал договор услов предусмотрен раздел 2 настоя соглашен 1.2.6 платеж настоя опцион засчитыва счет платеж договор подлеж возврат случа акцепт 2 услов договор купли-продаж дол уставн капитал 2.1 предмет договор дол уставн капитал размер 20 процент уставн капита номинальн стоимост 3000000 ( миллион рубл ( дал дол ) 2.2 стоимост дол составля 600000 ( шестьсот тысяч рубл 2.3 оплат дол производ пут перечислен денежн средств банковск счет 1 поздн 30 август 2021 год 2.4 гарантир дол переда свободн люб прав трет лиц дан гарант действова течен срок настоя соглашен момент заключен договор 3 порядок распоряжен прав заключен договор 3.1 особен выкуп опцион 3.1.1 случа принят решен заключен договор направля 1 течен срок предусмотрен п 1.2.1 настоя соглашен акцепт письмен форм 3.1.2 обяза заключ подписа 2 договор срок превыша 10 дне момент получен акцепт 3.2 особен отказ выкуп опцион 3.2.1 случа течен срок действ опцион примет решен заключен договор уплачен цен опцион возвраща 3.2.2 обяза вернут 2 цен опцион случа принима решен заключа договор вследств неисполнен ненадлежа исполнен 1 сво обязательств гарант заявлен 3.2.5 вправ согласован 1 уступ сво прав опцион заключен договор трет лиц 4 ответствен сторон 4.1 несут ответствен неисполнен ненадлежа исполнен обязан настоя соглашен соответств действ законодательств 4.2 освобожда ответствен случа неисполнен ненадлежа исполнен им сво обязательств настоя соглашен связа обстоятельств завися вол природн явлен ( землетрясен наводнен эпидем ) действ государствен орган акт террор войн сайт 4.3 обяза незамедлительн наступлен указа п 4.2 настоя соглашен обстоятельств уведом друг невозможн исполнен соглашен подтверд документальн факт наступлен указа обстоятельств 4.4 неисполнен услов настоя пункт влечет обязан возмещен убытк связа неисполнен услов настоя соглашен 5 заключительн положен 5.1 настоя соглашен составл подписа двух аутентичн экземпляр одн кажд 5.2 соглашен вступа сил момент подписан действ 30 август 2021 год 5.3 настоя соглашен прекраща сво действ случа направ 1 акцепт течен срок предусмотрен п 1.2.1 настоя соглашен 5.4 изменен дополнен настоя соглашен оформля дополнительн соглашен письмен форм котор явля неотъемлем част настоя соглашен 5.5 заявлен уведомлен извещен требован ин юридическ значим сообщен котор настоя соглашен связыва гражданско-правов последств влекут лиц так последств момент доставк соответств сообщен представител 5.6 юридическ значим сообщен подлежат передач пут электрон связ 5.7 сообщен счита доставлен тех случа он поступ котор он направл обстоятельств завися вруч ознаком 5.8 спор разноглас котор могут возникнут исполнен настоя соглашен будут возможн разреша пут переговор ми 5.9 случа придут соглашен спор разреша судебн порядк соответств действ законодательств 5.10 всем остальн предусмотр настоя соглашен руководств действ законодательств 6 реквизит подпис сторон оо « оо « 427960 г ул д 98 тел 8 ( 34147 дат ин 1834532345 кпп 5671112223 огрн 9876123454321 427023 г ул д 112 оф 16а тел 8 ( 34147 дат ин 5610009998 кпп 65432198765 огрн 98763429443524 генеральн директор оо « сайт генеральн директор оо « »
arrangement,соглашен реструктуризац задолжен г `` 17 декабр 2020 год именуем дальн `` '' лиц генеральн директор действ основан именуем дальн `` '' лиц генеральн директор действ основан вмест именуем `` '' индивидуальн `` '' подписа настоя соглашен реструктуризац долг договор займ 12 `` 13 март 2020 год ( дал `` договор '' нижеслед 1 приня решен реструктуризац задолжен ом договор займ 12 `` 13 март 2020 год состоян дат подписан дан соглашен размер 346 513 руб . числ 320 000 руб сумм основн долг 26 513 руб сумм начислен процент 2 реструктуризац долг осуществля пут предоставлен отсрочк уплат долг предоставлен ом банковск гарант ( дал именуем `` '' `` 17 декабр 2020 год сумм 346 513 руб 3 обяз выплат долг полн объем `` 30 июн 2021 год пут перевод денег расчетн счет 4 выплат долг дат установлен п 3 дан документ отправля письмен вид требован уплат сумм задолжен объем согласн п 1 дан соглашен направля требован срок `` 30 июл 2021 год погашен задолжен осуществля ом порядк срок утвержден банковск гарант 5 дня подписан дан документ штрафн санкц несвоевремен погашен ом обязательств денежн обязательств котор осуществля реструктуризац начисля 6 всем остальн установл настоя соглашен руководств актуальн положен 7 дан документ вступа сил дня подписан ми актуал полн исполнен им сво обязательств 8 соглашен составл двух экземпляр имеющ равн юридическ сил одн кажд 426009 г ул д 45 тел 8 ( 3412 дат ин 1831231234 кпп 876345234 огрн 6784563636363 426008 г ул д 56 оф 12 тел 8 ( 3412 дат ин 5612342345 кпп 567345123 огрн 5673452341234 подпис сторон ахмет сайт ахмет сайт .
arrangement,дополнительн соглашен договор купли-продаж `` октябр 2020 год 55 г `` 2 ноябр 2020 год `` дал именуем `` продавец '' лиц генеральн директор действ основан одн сторон обществ ограничен ответствен `` '' дал именуем `` покупател '' лиц генеральн директор действ основан сторон вмест именуем `` '' индивидуальн `` '' состав настоя дополнительн соглашен ( дал соглашен договор купли-продаж 55 `` октябр нижеслед 1 соглас обе принят решен расторжен предварительн договор купли-продаж земельн участк 55 `` октябр 2020 год 2 покупател соглас возврат задатк одинарн размер сумм 300 000 ( трист тысяч рубл предъявля требован возврат задатк двойн размер 3 продавец обяза вернут получен задаток размер 300 000 ( трист тысяч рубл течен 5 ( пят рабоч дне момент подписан настоя соглашен 4 обязательств исполнен услов указа договор прекраща момент подписан соглашен 5 исполнен услов договор претенз друг друг имеют 6 дан соглашен составл двух экземпляр имеющ равн юридическ сил одн экземпляр кажд реквизит продавец покупател оо `` '' 185001 г ул д 98 тел 8 ( 8142 дат ин 1834532345 кпп 5671112223 огрн 9876123454321 оо `` '' 185023 г ул д 112 оф 16а тел 8 ( 3412 дат ин 5610009998 кпп 65432198765 огрн 987634294435 подпис продавец сайт покупател сайт .
arrangement,соглашен расторжен договор оказан услуг `` август 2020 год 23 г `` 15 ноябр 2020 год `` дал именуем `` '' лиц генеральн директор действ основан одн сторон обществ ограничен ответствен `` '' дал именуем `` '' лиц действ основан сторон вмест именуем `` '' индивидуальн `` '' состав настоя соглашен ( дал соглашен нижеслед 1 соглас обе принят решен расторгнут договор оказан консультацион услуг `` август 2020 год 23 ( дал договор ) 2 произвел сверк расчет договор ( документ прилага ) 3 течен 5 ( пят рабоч дне момент подписан соглашен обяз перечисл сумм размер 30 000 ( тридца тысяч рубл включ ндс 20 услуг котор фактическ оказа 4 течен 2 ( двух рабоч дне момент подписан соглашен обяз вернут документ котор принят договор 5 договор счита расторгнут момент подписан дан соглашен 6 соглашен составл двух экземпляр имеющ равн юридическ сил одн кажд реквизит оо `` '' 427960 г ул д 12 тел 8 ( 34147 дат ин 1830980987 кпп 5677892345 огрн 4567652348763 оо `` '' 426008 г ул д 112 оф 9а тел 8 ( 3412 дат ин 5611112223 кпп 562233445 огрн 98765433456765432 подпис груш сайт груш константин /
arrangement,приложен договор подряд 123 `` 22 октябр 2020 год соглашен отсутств взаимн претенз г `` 12 ноябр 2020 год именуем `` '' лиц генеральн директор действ основан одн сторон паспорт сер 9300 123456 выда г 13 август 2005 год именуем `` исполнител '' сторон вмест именуем `` '' индивидуальн `` '' заключ настоя соглашен нижеслед 1 момент заключен настоя соглашен полн мер исполн обязательств заключен договор 123 `` 22 октябр 2020 год 2 произвел работ ремонт газов генератор фас-150 з/р работ выполн срок надлежа образ 3 приня работ согласн соответств установлен требован 4 имеют претенз друг друг относительн качеств работ оплат реквизит сторон исполнител 610009 г ул д 12 оф 25а тел . 8 ( 8332 дат ин 5612342345 кпп 23412356677 огрн 8765456789876 паспорт сер 9300 123456 выда г 13 август 2005 год регистрац г ул д 56 кв 45 подпис сторон сайт исполнител сайт .
arrangement,дополнительн соглашен 2 трудов договор 315 `` 12 октябр 2019 год г `` ноябр 20 год ( оо `` '' ) именуем дальн `` работодател '' лиц генеральн директор действ основан одн сторон бухгалтер именуем дальн `` ( табельн номер 045 ) сторон вмест именуем `` '' индивидуальн `` '' заключ дополнительн соглашен трудов договор 315 `` 12 октябр 2019 год ( дал `` трудов договор '' нижеслед 1 причин смен наименован измен преамбул трудов договор `` ( оо `` '' `` ( оо `` '' ) 2 измен раздел `` реквизит сторон трудов договор `` ( оо `` '' `` ( оо `` '' ) 3 всем остальн прописа дан дополнительн соглашен оста сил действ услов трудов договор обязательн исполнен ми 4 дан дополнительн соглашен вступа сил `` ноябр 20 год явля част трудов договор 5 дан дополнительн соглашен составл 2 ( двух экземпляр имеющ равн юридическ сил одн работодател ( оо `` '' г ул д 56б ин 5612343451 кпп 5674687345 р/с 40704567987654321234 к/с 30106857456723430987 077456334 паспорт сер 9000 999999 выда г дат г регистрац 426987 г ул д 56 кв 90 сайт лопаткин сайт дополнительн соглашен смен наименован организац рук получ сайт `` ноябр 20 год
arrangement,соглашен 23 расторжен договор аренд нежил помещен 45 `` август 2019 год г `` 21 октябр 2020 год именуем дальн `` '' лиц генеральн директор действ основан именуем дальн `` '' лиц генеральн директор действ основан вмест именуем `` '' индивидуальн `` '' подписа настоя соглашен договор аренд нежил помещен 45 `` август 2019 год ( дал `` договор '' нижеслед 1 расторгнут договор дат подписан дан соглашен 2 обязательств договор прекраща момент расторжен возврат арендова нежил помещен адрес г ул д 89 общ площад 80 кв м арендодател акт приема-передач 3 акт приема-передач необходим указа техническ состоян нежил помещен момент передач 4 должн подписа течен 14 календарн дне момент подписан настоя соглашен 5 соглашен составл 2 ( двух экземпляр имеющ равн юридическ сил одн экземпляр кажд реквизит 426009 г ул д 45 тел 8 ( 3412 дат ин 1831231234 кпп 876345234 огрн 6784563636363 426008 г ул д 56 оф 12 тел 8 ( 3412 дат ин 5612342345 кпп 567345123 огрн 5673452341234 подпис сайт :
arrangement,дополнительн соглашен 47 трудов договор 12-тд `` 30 март 2015 год отмен дистанцион работ г `` 10 сентябр 2020 год ) именуем дальн `` работодател '' лиц генеральн директор действ основан одн сторон дизайнер именуем дальн `` '' сторон вмест именуем `` '' заключ настоя дополнительн соглашен трудов договор 12-тд `` 30 март 2015 год нижеслед 1 п 2 трудов договор излож след редакц выполня трудов функц мест нахожден работодател г ул д 87 оф 11б нача рабоч дня 8:00 окончан 17:00 обеден перер 12:00 13:00 рабоч дни понедельник вторник сред четверг пятниц выходн дни суббот воскресен '' 2 п 5 трудов договор излож след редакц `` работодател обяза обеспеч необходим оборудован техническ документац выполнен работ '' 3 остальн пункт трудов договор 12-тд `` 30 март 2015 год остав неизмен 4 настоя дополнительн соглашен вступа сил `` 16 сентябр 2020 год явля неотъемлем част трудов договор 12-тд `` 30 март 2015 год 5 настоя дополнительн соглашен составл двух экземпляр имеющ одинаков юридическ сил одн кажд подпис сторон работодател ин 1839998887 кпп 776655448 огрн 9876598765432 мест нахожден г ул д 87 оф 11б генеральн директор 9123 565656 выда гор дат год мест жительств г ул д 123 кв 11 работодател сайт сайт дополнительн соглашен рук получ сайт дат `` 10 сентябр 2020 год
arrangement,дополнительн соглашен 34 трудов договор 56-тд `` 12 сентябр 2017 год установлен неполн рабоч времен г `` 20 август 2020 год ) именуем дальн `` работодател '' лиц генеральн директор действ основан одн сторон программист именуем дальн `` '' сторон вмест именуем `` '' заключ настоя дополнительн соглашен трудов договор 56-тд `` 12 сентябр 2017 год нижеслед 1 п 4 трудов договор излож след редакц `` устанавлива неполн рабоч ден 4 час '' нача рабоч дня 8:00 окончан 12:00 рабоч дни понедельник вторник сред четверг пятниц выходн дни суббот воскресен 2 п 5 трудов договор излож след редакц `` утвержд месячн оклад 30 000 ( тридца тысяч рубл оплат труд начисля пропорциональн отработа времен соответств табел учет рабоч времен '' 3 остальн пункт трудов договор 56-тд `` 12 сентябр 2017 год остав неизмен 4 настоя дополнительн соглашен вступа сил `` 25 август 2020 год явля неотъемлем част трудов договор 56-тд `` 12 сентябр 2017 год 5 настоя дополнительн соглашен составл двух экземпляр имеющ одинаков юридическ сил одн кажд подпис сторон работодател ин 1831112223 кпп 3344556677 огрн 1987656787654 мест нахожден г ул д 112 оф 24а генеральн директор 9000 555555 выда гор дат год мест жительств г ул д 345 кв 55 работодател сайт дополнительн соглашен рук получ сайт дат `` 20 август 2020 год
